"Season"	"STATE"	"O_RUNS.ROI"	"N"
"636"	2006	"010 1"	"0"	3486
"637"	2006	"010 1"	"1"	1457
"638"	2006	"010 1"	"2"	591
"639"	2006	"010 1"	"3"	307
"640"	2006	"010 1"	"4+"	190
"641"	2006	"010 2"	"0"	5812
"642"	2006	"010 2"	"1"	1199
"643"	2006	"010 2"	"2"	404
"644"	2006	"010 2"	"3"	161
"645"	2006	"010 2"	"4+"	63
"646"	2006	"011 0"	"0"	97
"647"	2006	"011 0"	"1"	181
"648"	2006	"011 0"	"2"	190
"649"	2006	"011 0"	"3"	108
"650"	2006	"011 0"	"4+"	94
"651"	2006	"011 1"	"0"	542
"652"	2006	"011 1"	"1"	496
"653"	2006	"011 1"	"2"	420
"654"	2006	"011 1"	"3"	178
"655"	2006	"011 1"	"4+"	159
"656"	2006	"011 2"	"0"	1433
"657"	2006	"011 2"	"1"	98
"658"	2006	"011 2"	"2"	279
"659"	2006	"011 2"	"3"	90
"660"	2006	"011 2"	"4+"	51
"661"	2006	"100 0"	"0"	6428
"662"	2006	"100 0"	"1"	2045
"663"	2006	"100 0"	"2"	1432
"664"	2006	"100 0"	"3"	791
"665"	2006	"100 0"	"4+"	704
"666"	2006	"100 1"	"0"	9335
"667"	2006	"100 1"	"1"	1555
"668"	2006	"100 1"	"2"	1221
"669"	2006	"100 1"	"3"	545
"670"	2006	"100 1"	"4+"	384
"671"	2006	"100 2"	"0"	11456
"672"	2006	"100 2"	"1"	861
"673"	2006	"100 2"	"2"	619
"674"	2006	"100 2"	"3"	213
"675"	2006	"100 2"	"4+"	99
"676"	2006	"101 0"	"0"	134
"677"	2006	"101 0"	"1"	452
"678"	2006	"101 0"	"2"	162
"679"	2006	"101 0"	"3"	147
"680"	2006	"101 0"	"4+"	135
"681"	2006	"101 1"	"0"	807
"682"	2006	"101 1"	"1"	835
"683"	2006	"101 1"	"2"	262
"684"	2006	"101 1"	"3"	205
"685"	2006	"101 1"	"4+"	147
"686"	2006	"101 2"	"0"	2159
"687"	2006	"101 2"	"1"	465
"688"	2006	"101 2"	"2"	177
"689"	2006	"101 2"	"3"	146
"690"	2006	"101 2"	"4+"	61
"691"	2006	"110 0"	"0"	1040
"692"	2006	"110 0"	"1"	632
"693"	2006	"110 0"	"2"	457
"694"	2006	"110 0"	"3"	359
"695"	2006	"110 0"	"4+"	393
"696"	2006	"110 1"	"0"	2876
"697"	2006	"110 1"	"1"	783
"698"	2006	"110 1"	"2"	572
"699"	2006	"110 1"	"3"	456
"700"	2006	"110 1"	"4+"	324
"701"	2006	"110 2"	"0"	4786
"702"	2006	"110 2"	"1"	713
"703"	2006	"110 2"	"2"	378
"704"	2006	"110 2"	"3"	279
"705"	2006	"110 2"	"4+"	132
"706"	2006	"111 0"	"0"	100
"707"	2006	"111 0"	"1"	221
"708"	2006	"111 0"	"2"	149
"709"	2006	"111 0"	"3"	104
"710"	2006	"111 0"	"4+"	205
"711"	2006	"111 1"	"0"	622
