"Season"	"Bases"	"Outs"	"Coef"	"Bases_Score"
"328"	2013	"“101”"	0	2.12745130800681	5
"329"	2013	"“101”"	1	1.35319115303215	5
"330"	2013	"“101”"	2	0.0771180150738427	5
"331"	2013	"“110”"	0	1.54341122281034	3
"332"	2013	"“110”"	1	0.723613228936696	3
"333"	2013	"“110”"	2	-0.219447842878376	3
"334"	2013	"“111”"	0	2.44734894586936	7
"335"	2013	"“111”"	1	1.77596416581662	7
"336"	2013	"“111”"	2	0.367668315461533	7
"337"	2014	"“000”"	0	0	0
"338"	2014	"“000”"	1	-0.708295818865536	0
"339"	2014	"“000”"	2	-1.6818037760294	0
"340"	2014	"“001”"	0	1.78032310358346	4
"341"	2014	"“001”"	1	1.26147601222131	4
"342"	2014	"“001”"	2	-0.0727490998892522	4
"343"	2014	"“010”"	0	1.30514751422321	2
"344"	2014	"“010”"	1	0.540700313864546	2
"345"	2014	"“010”"	2	-0.310974942985047	2
"346"	2014	"“011”"	0	2.3098453434154	6
"347"	2014	"“011”"	1	1.69792962766696	6
"348"	2014	"“011”"	2	-0.0152109373689621	6
"349"	2014	"“100”"	0	0.748208371466835	1
"350"	2014	"“100”"	1	0.0421437891408358	1
"351"	2014	"“100”"	2	-0.928845741596652	1
"352"	2014	"“101”"	0	2.14450277443542	5
"353"	2014	"“101”"	1	1.34891932015409	5
"354"	2014	"“101”"	2	-0.0415378261806809	5
"355"	2014	"“110”"	0	1.57202724256158	3
"356"	2014	"“110”"	1	0.739851963808846	3
"357"	2014	"“110”"	2	-0.228694726157607	3
"358"	2014	"“111”"	0	2.69483295782847	7
"359"	2014	"“111”"	1	1.79501231918079	7
"360"	2014	"“111”"	2	0.290395057821888	7
"361"	2015	"“000”"	0	0	0
"362"	2015	"“000”"	1	-0.683063446796149	0
"363"	2015	"“000”"	2	-1.60166779845992	0
"364"	2015	"“001”"	0	1.7555815774913	4
"365"	2015	"“001”"	1	1.21412046275694	4
"366"	2015	"“001”"	2	-0.0693010702320429	4
"367"	2015	"“010”"	0	1.29697436601851	2
"368"	2015	"“010”"	1	0.540998289944364	2
"369"	2015	"“010”"	2	-0.341255761707197	2
"370"	2015	"“011”"	0	2.35343342518803	6
"371"	2015	"“011”"	1	1.59009042759533	6
"372"	2015	"“011”"	2	0.0574353131476876	6
"373"	2015	"“100”"	0	0.7158664994375	1
"374"	2015	"“100”"	1	0.0137286246476271	1
"375"	2015	"“100”"	2	-0.877084813079656	1
"376"	2015	"“101”"	0	2.03329571151931	5
"377"	2015	"“101”"	1	1.29085741763052	5
"378"	2015	"“101”"	2	-0.039004729887776	5
"379"	2015	"“110”"	0	1.59618288227134	3
"380"	2015	"“110”"	1	0.72508387620927	3
"381"	2015	"“110”"	2	-0.204943015802637	3
"382"	2015	"“111”"	0	2.58488430589895	7
"383"	2015	"“111”"	1	1.73850945039994	7
"384"	2015	"“111”"	2	0.43597117830047	7
"385"	2016	"“000”"	0	0	0
"386"	2016	"“000”"	1	-0.681834835929038	0
"387"	2016	"“000”"	2	-1.59877432636172	0
"388"	2016	"“001”"	0	1.62854462301604	4
"389"	2016	"“001”"	1	1.14140068370181	4
"390"	2016	"“001”"	2	-0.139686292280172	4
"391"	2016	"“010”"	0	1.24930573335248	2
"392"	2016	"“010”"	1	0.494176467086642	2
"393"	2016	"“010”"	2	-0.379021956598906	2
"394"	2016	"“011”"	0	2.15197657877962	6
"395"	2016	"“011”"	1	1.52365656644192	6
"396"	2016	"“011”"	2	-0.0445195808262717	6
"397"	2016	"“100”"	0	0.672918394205625	1
"398"	2016	"“100”"	1	-0.0241344527426353	1
"399"	2016	"“100”"	2	-0.97848462604179	1
"400"	2016	"“101”"	0	1.96131909552006	5
"401"	2016	"“101”"	1	1.32691298296229	5
"402"	2016	"“101”"	2	-0.055343619322914	5
"403"	2016	"“110”"	0	1.51721498795192	3
"404"	2016	"“110”"	1	0.722307461547046	3
"405"	2016	"“110”"	2	-0.298562261414631	3
"406"	2016	"“111”"	0	2.26403849505571	7
"407"	2016	"“111”"	1	1.63081150957513	7
"408"	2016	"“111”"	2	0.271161012741221	7
"409"	2017	"“000”"	0	0	0
"410"	2017	"“000”"	1	-0.689239597057661	0
"411"	2017	"“000”"	2	-1.61367316584833	0
"412"	2017	"“001”"	0	1.64286986348162	4
"413"	2017	"“001”"	1	1.12854155452271	4
"414"	2017	"“001”"	2	-0.144072371866534	4
"415"	2017	"“010”"	0	1.23372094648755	2
"416"	2017	"“010”"	1	0.499904477035932	2
"417"	2017	"“010”"	2	-0.395218024232343	2
"418"	2017	"“011”"	0	2.21289474245656	6
"419"	2017	"“011”"	1	1.56917926697825	6
"420"	2017	"“011”"	2	0.014490458525856	6
"421"	2017	"“100”"	0	0.689746996805514	1
"422"	2017	"“100”"	1	-0.0354094775779373	1
"423"	2017	"“100”"	2	-0.991659815982009	1
"424"	2017	"“101”"	0	1.97851754450459	5
"425"	2017	"“101”"	1	1.27379465001788	5
"426"	2017	"“101”"	2	-0.0313321717687053	5
"427"	2017	"“110”"	0	1.51177883618682	3
"428"	2017	"“110”"	1	0.702661237086749	3
"429"	2017	"“110”"	2	-0.262428149708396	3
"430"	2017	"“111”"	0	2.34256520725257	7
"431"	2017	"“111”"	1	1.66735205812704	7
"432"	2017	"“111”"	2	0.340117445860365	7
"433"	2018	"“000”"	0	0	0
"434"	2018	"“000”"	1	-0.664547492863199	0
"435"	2018	"“000”"	2	-1.64435012445844	0
"436"	2018	"“001”"	0	1.67576889376537	4
"437"	2018	"“001”"	1	1.1860391879873	4
"438"	2018	"“001”"	2	-0.198852656789454	4
"439"	2018	"“010”"	0	1.21860548754721	2
"440"	2018	"“010”"	1	0.521153395464868	2
"441"	2018	"“010”"	2	-0.350101770746864	2
"442"	2018	"“011”"	0	2.13136399589526	6
"443"	2018	"“011”"	1	1.53184615948717	6
"444"	2018	"“011”"	2	0.0310159024273092	6
"445"	2018	"“100”"	0	0.687315694381065	1
"446"	2018	"“100”"	1	0.0242623370788059	1
"447"	2018	"“100”"	2	-0.965419425449679	1
"448"	2018	"“101”"	0	2.00190032302507	5
"449"	2018	"“101”"	1	1.34357254664694	5
"450"	2018	"“101”"	2	-0.00902570609263007	5
"451"	2018	"“110”"	0	1.48578836864907	3
"452"	2018	"“110”"	1	0.756341425278494	3
"453"	2018	"“110”"	2	-0.211286688177561	3
"454"	2018	"“111”"	0	2.53868232124277	7
"455"	2018	"“111”"	1	1.55641181273787	7
"456"	2018	"“111”"	2	0.359440705102821	7
"457"	2019	"“000”"	0	0	0
"458"	2019	"“000”"	1	-0.66942346002053	0
"459"	2019	"“000”"	2	-1.59510550647688	0
"460"	2019	"“001”"	0	1.57979772434524	4
"461"	2019	"“001”"	1	1.08007419444621	4
"462"	2019	"“001”"	2	-0.205630438680369	4
"463"	2019	"“010”"	0	1.16040986020238	2
"464"	2019	"“010”"	1	0.480328382606022	2
"465"	2019	"“010”"	2	-0.40323055859666	2
"466"	2019	"“011”"	0	2.19012337478784	6
"467"	2019	"“011”"	1	1.52217364086731	6
"468"	2019	"“011”"	2	-0.0053352020712841	6
"469"	2019	"“100”"	0	0.705068182711068	1
"470"	2019	"“100”"	1	-0.01043513495098	1
"471"	2019	"“100”"	2	-0.980443199596764	1
"472"	2019	"“101”"	0	1.89592835107538	5
"473"	2019	"“101”"	1	1.25529580458501	5
"474"	2019	"“101”"	2	0.00498490986691164	5
"475"	2019	"“110”"	0	1.53762504950149	3
"476"	2019	"“110”"	1	0.743657505641497	3
"477"	2019	"“110”"	2	-0.283395797829989	3
"478"	2019	"“111”"	0	2.3915235967885	7
"479"	2019	"“111”"	1	1.63564740009573	7
"480"	2019	"“111”"	2	0.286307663669912	7
